subject activity tBodyAcc-mean()-X tBodyAcc-mean()-Y tBodyAcc-mean()-Z tBodyAcc-std()-X tBodyAcc-std()-Y tBodyAcc-std()-Z tGravityAcc-mean()-X tGravityAcc-mean()-Y tGravityAcc-mean()-Z tGravityAcc-std()-X tGravityAcc-std()-Y tGravityAcc-std()-Z tBodyAccJerk-mean()-X tBodyAccJerk-mean()-Y tBodyAccJerk-mean()-Z tBodyAccJerk-std()-X tBodyAccJerk-std()-Y tBodyAccJerk-std()-Z tBodyGyro-mean()-X tBodyGyro-mean()-Y tBodyGyro-mean()-Z tBodyGyro-std()-X tBodyGyro-std()-Y tBodyGyro-std()-Z tBodyGyroJerk-mean()-X tBodyGyroJerk-mean()-Y tBodyGyroJerk-mean()-Z tBodyGyroJerk-std()-X tBodyGyroJerk-std()-Y tBodyGyroJerk-std()-Z tBodyAccMag-mean() tBodyAccMag-std() tGravityAccMag-mean() tGravityAccMag-std() tBodyAccJerkMag-mean() tBodyAccJerkMag-std() tBodyGyroMag-mean() tBodyGyroMag-std() tBodyGyroJerkMag-mean() tBodyGyroJerkMag-std() fBodyAcc-mean()-X fBodyAcc-mean()-Y fBodyAcc-mean()-Z fBodyAcc-std()-X fBodyAcc-std()-Y fBodyAcc-std()-Z fBodyAcc-meanFreq()-X fBodyAcc-meanFreq()-Y fBodyAcc-meanFreq()-Z fBodyAccJerk-mean()-X fBodyAccJerk-mean()-Y fBodyAccJerk-mean()-Z fBodyAccJerk-std()-X fBodyAccJerk-std()-Y fBodyAccJerk-std()-Z fBodyAccJerk-meanFreq()-X fBodyAccJerk-meanFreq()-Y fBodyAccJerk-meanFreq()-Z fBodyGyro-mean()-X fBodyGyro-mean()-Y fBodyGyro-mean()-Z fBodyGyro-std()-X fBodyGyro-std()-Y fBodyGyro-std()-Z fBodyGyro-meanFreq()-X fBodyGyro-meanFreq()-Y fBodyGyro-meanFreq()-Z fBodyAccMag-mean() fBodyAccMag-std() fBodyAccMag-meanFreq() fBodyBodyAccJerkMag-mean() fBodyBodyAccJerkMag-std() fBodyBodyAccJerkMag-meanFreq() fBodyBodyGyroMag-mean() fBodyBodyGyroMag-std() fBodyBodyGyroMag-meanFreq() fBodyBodyGyroJerkMag-mean() fBodyBodyGyroJerkMag-std() fBodyBodyGyroJerkMag-meanFreq()
1 LAYING 0.22159824394 -0.0405139534294 -0.11320355358 -0.9280564692 -0.83682740562 -0.826061401628 -0.24888179828 0.70554977346 0.4458177198 -0.8968300184 -0.90772000676 -0.85236629022 0.0810865342 0.0038382040088 0.010834236361 -0.958482112 -0.9241492736 -0.9548551108 -0.016553093978 -0.064486124088 0.14868943626 -0.87354386782 -0.9510904402 -0.9082846626 -0.107270949192 -0.04151728689 -0.0740501211 -0.9186085208 -0.9679072436 -0.9577901596 -0.8419291525 -0.79514486386 -0.8419291525 -0.79514486386 -0.9543962646 -0.9282456284 -0.874759548 -0.81901016976 -0.96346103 -0.9358409828 -0.9390990524 -0.86706520518 -0.8826668762 -0.9244374346 -0.8336255561 -0.81289155944 -0.158792670508 0.097534841586 0.08943765522 -0.9570738838 -0.9224626098 -0.9480609042 -0.9641607086 -0.9322178704 -0.9605869872 0.132419092398 0.024513618956 0.02438794528 -0.850249174586 -0.9521914948 -0.909302721 -0.8822964508 -0.9512320494 -0.9165825082 -0.003546795856 -0.091529130882 0.01045812566 -0.8617676481 -0.7983009404 0.08640856294 -0.9333003608 -0.9218039756 0.26639115416 -0.8621901854 -0.82431943968 -0.1397750127 -0.9423669466 -0.9326606676 0.17648590708
1 SITTING 0.278917629056604 -0.0161375901037736 -0.110601817735849 -0.995759901509434 -0.973190056415094 -0.979775876981132 0.942952000377358 -0.272983832264151 0.0134905823226415 -0.99376298509434 -0.981225957924528 -0.976324063584906 0.0753766542264151 0.00797573092830189 -0.00368524954709434 -0.994604542264151 -0.98564873245283 -0.992251177358491 -0.0239877347979245 -0.0593972209811321 0.074800751 -0.987191946603774 -0.98773444 -0.980645626981132 -0.0996092129056604 -0.0440627877924528 -0.0489505466716981 -0.992945106981132 -0.995137917358491 -0.992108467169811 -0.98427820735849 -0.981942928867925 -0.98427820735849 -0.981942928867925 -0.992367790566038 -0.993096209433962 -0.976493792830189 -0.978690028679245 -0.994966790566038 -0.994733238679245 -0.99524993264151 -0.977070847735849 -0.985297098679245 -0.99602834509434 -0.972293102075472 -0.977937259622642 0.0865153619088679 0.117478948718868 0.244858585792453 -0.994630797358491 -0.985418704528302 -0.990752166037736 -0.995073759245283 -0.987018226792453 -0.992349818113207 0.314182940150943 0.0391618954943396 0.138581478749057 -0.986386786037736 -0.988984455849057 -0.980773122830189 -0.987497128679245 -0.987107727735849 -0.98234533 -0.120293020603774 -0.0447191978169811 0.100607635139623 -0.985356361132075 -0.982313804716981 0.284555290773585 -0.99254247754717 -0.992536003396226 0.422220102264151 -0.984617623396226 -0.978466072075472 -0.0286057725328302 -0.994815376981132 -0.994671123207547 0.334498734301887
1 WALKING 0.277330758736842 -0.0173838185273684 -0.111148103547368 -0.283740258842105 0.114461336747368 -0.260027902210526 0.935223201473684 -0.282165021263158 -0.068102864 -0.976609642526316 -0.971305961473684 -0.947717226105263 0.0740416333157895 0.0282721095884211 -0.00416840617789474 -0.113615602435789 0.0670025007684211 -0.502699788526316 -0.041830963526 -0.0695300462115789 0.0849448173042105 -0.473535485894737 -0.0546077686594737 -0.344266629473684 -0.0899975423705263 -0.0398428709463158 -0.0461309295021053 -0.207421854757895 -0.304468510631579 -0.404255452631579 -0.136971176556842 -0.219688645631579 -0.136971176556842 -0.219688645631579 -0.141428809031579 -0.0744717500625263 -0.160979552536842 -0.186978364526316 -0.298703679084211 -0.325324878894737 -0.202794306326316 0.0897127264021053 -0.331560117789474 -0.319134719578947 0.056040006846 -0.279686751494737 -0.207548374494737 0.113093646103158 0.0497265196172632 -0.170546964549579 -0.0352255241130632 -0.468999224631579 -0.133586606326316 0.106739857136 -0.534713440421053 -0.209261973376842 -0.386237143210526 -0.185530281244211 -0.339032197115789 -0.103059416434737 -0.255940940315789 -0.516691938736842 -0.0335081597884211 -0.436562227473684 0.0147844986621053 -0.0657746190010526 0.00077332156431579 -0.128623450629474 -0.398032586842105 0.1906437244 -0.0571194000343158 -0.103492403002105 0.0938221807027368 -0.199252568986316 -0.321017953894737 0.268844367525895 -0.319308593778947 -0.381601911789474 0.190663448793684
1 WALKING_DOWNSTAIRS 0.261237565425532 -0.00130828765170213 -0.104544182255319 -0.977229008297872 -0.922618641914894 -0.93958629106383 0.831509933404255 0.204411592680851 0.332043702765957 -0.968457145744681 -0.935517055957447 -0.949040933191489 0.0774825199574468 -0.000619102785106384 -0.00336779235021277 -0.986430711276596 -0.981371965319149 -0.987910804468085 -0.045350056512766 -0.0919241549361702 0.0629313811914894 -0.977211283191489 -0.966473895319149 -0.941425920851064 -0.0936793807234042 -0.0402118124255319 -0.046702627 -0.99173159212766 -0.989518068510638 -0.987935806382979 -0.948536786170213 -0.927078418723404 -0.948536786170213 -0.927078418723404 -0.987364195531915 -0.984120024042553 -0.93089249 -0.934531840425532 -0.991976341276596 -0.988308728510638 -0.979641238723404 -0.944084550425532 -0.959184889148936 -0.976412313191489 -0.917275006382979 -0.934469558085106 -0.0495135975489362 0.0759460768510638 0.238829870148936 -0.986597022553191 -0.981579467021277 -0.986053092340426 -0.987492994468085 -0.982513909574468 -0.988339184893617 0.256610823568085 0.0475437839595745 0.0923920032553192 -0.976161464042553 -0.975838585319149 -0.951315544468085 -0.977904227021277 -0.962345042553192 -0.94391784106383 0.189153021260851 0.0631270669787234 -0.0297839207446809 -0.947782922553192 -0.928444801702128 0.236655011680851 -0.985262126808511 -0.981606177446808 0.351852201957447 -0.958435589361702 -0.932198374893617 -0.000262186717021277 -0.989797547234043 -0.987049617234042 0.184775928085106
1 WALKING_UPSTAIRS 0.271663698529412 -0.0172110160481373 -0.102232837897059 -0.169880330891461 -0.0165474046558824 -0.120820353979412 0.911857399019608 -0.316255244313725 -0.0690218997852941 -0.953577286764706 -0.945244349509804 -0.904481900098039 0.0786898548421569 0.0243690814392157 -0.028945505472549 -0.238084658987255 -0.245362869817647 -0.533239938470588 0.00941456668970588 -0.130028726683333 0.0736002123044118 -0.503153579843137 -0.0585640765754902 -0.323434902234314 -0.0990425262973529 -0.043033321827451 -0.0341472989781373 -0.553412007058824 -0.42737587577451 -0.444165771097059 -0.0544503740184314 -0.159305157542157 -0.0544503740184314 -0.159305157542157 -0.285368717736275 -0.261276021918627 -0.102238311101961 -0.185659979331373 -0.451044315431373 -0.484238558637255 -0.191723770447059 -0.0984884384219608 -0.333536111009804 -0.163641989041176 -0.042955286204902 -0.0984585240941176 -0.36524823289902 -0.0531291000352941 -0.128865409022353 -0.262636446401961 -0.276639743772549 -0.494691596176471 -0.281481757895784 -0.263025538186274 -0.570240023431373 -0.317522340205882 -0.426913319019608 -0.28185575837549 -0.425278924870588 -0.192760437754902 -0.251002492379412 -0.53203925322549 -0.00840940891372549 -0.41161029627451 -0.145657802481373 -0.206416249047059 -0.105656382916667 -0.136709244010784 -0.305899707182353 0.00646835749637255 -0.217410376061765 -0.326967970839216 0.0810957206803922 -0.258590698465686 -0.286445113568627 0.0540000190601961 -0.465229940683333 -0.548846976411765 0.150654252472451
2 LAYING 0.281373403958333 -0.0181587397583333 -0.107245610416667 -0.974059464791667 -0.98027739875 -0.984233296875 -0.509754238125 0.752536639375 0.646834879583333 -0.959014441458333 -0.988211865208333 -0.984230418125 0.0825972511666667 0.012254788451875 -0.00180264895625 -0.98587216875 -0.98317254125 -0.988442014375 -0.01847660675 -0.111800824583333 0.144882846104167 -0.988275232916667 -0.982291608958333 -0.960306560416667 -0.101974134208333 -0.0358590176083333 -0.0701783020833333 -0.993235849166667 -0.989567537916667 -0.98803582125 -0.977435485208333 -0.972873912916667 -0.977435485208333 -0.972873912916667 -0.987741696041667 -0.98551807625 -0.950011569583333 -0.961164053958333 -0.991767074166667 -0.989718095208333 -0.976725059791667 -0.979800877916667 -0.984380981875 -0.973246482083333 -0.981025105625 -0.984792185 -0.146482792591667 0.2572894655 0.402532553395833 -0.985813630833333 -0.982768250416667 -0.986197134583333 -0.987250255833333 -0.984987392916667 -0.989345368541667 0.159808328563875 0.1212064240125 0.190558218145833 -0.9864311425 -0.983321635416667 -0.9626718875 -0.988860685833333 -0.981910616458333 -0.963174222291667 0.10261131938125 0.04228066839375 0.0552985986479167 -0.975110196458333 -0.975121387916667 0.2662982125 -0.985374114791667 -0.984568489166667 0.3417585745 -0.972112972708333 -0.96109837875 0.01856447223125 -0.990248702291667 -0.989492660416667 0.264801505395833
2 SITTING 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.987271889259259 -0.957304989259259 -0.949741851296296 0.896928566851852 -0.370062696851852 0.129747161222222 -0.986685818703704 -0.97419442037037 -0.945927078703704 0.0747588597592593 0.0103291774794444 -0.00837158846722222 -0.981085715555555 -0.97105943962963 -0.982841446481481 -0.0238623875712963 -0.0820396577592593 0.0878351695481482 -0.972998629814815 -0.971441996481482 -0.964856701851852 -0.105562157888889 -0.042241953537037 -0.0546539479425926 -0.979324000740741 -0.983447258518518 -0.973610118333333 -0.965875181296296 -0.957874965 -0.965875181296296 -0.957874965 -0.980489077407407 -0.976675280185185 -0.963466341851852 -0.95394338037037 -0.983951904259259 -0.977204427777778 -0.983946739814815 -0.959871697407407 -0.962471195740741 -0.989056469814815 -0.957908842222222 -0.946433583518519 0.108519182924074 0.0623378066683333 0.104462499601852 -0.980973241666667 -0.970851337962963 -0.979775152037037 -0.983007923703704 -0.973520241111111 -0.984599905185185 0.331449281481482 -0.0569368291814815 0.0396498183462963 -0.967037112037037 -0.972576152962963 -0.960627696111111 -0.97498812462963 -0.97103605037037 -0.969754295740741 -0.107416045074074 -0.171160370096296 0.000226810610740739 -0.964052166481481 -0.960519381481482 0.119649963903704 -0.977065295555556 -0.97516046 0.304871865218519 -0.961775904814815 -0.956788725740741 -0.0661266045796296 -0.977849827407407 -0.977754298148148 0.160662823925926
2 WALKING 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.423642838474576 -0.0780912533118644 -0.425257524915254 0.91301733338983 -0.34660709 0.0847270871186441 -0.972693201355932 -0.972116879661017 -0.972072847627119 0.0618080696279661 0.0182492679288136 0.0078953370661017 -0.277530462620339 -0.0166022362847458 -0.586090418983051 -0.0530258157347458 -0.0482382316949153 0.0828336633220339 -0.561550255762712 -0.53845366779661 -0.481085535084746 -0.0818833429152542 -0.0538299449067797 -0.0514939156830508 -0.389549831525424 -0.634140436101695 -0.435492677288136 -0.290407593728814 -0.422544169322034 -0.290407593728814 -0.422544169322034 -0.281424153881356 -0.164150985127119 -0.446549092881356 -0.553019916271186 -0.547911950338983 -0.557798151355932 -0.346048161016949 -0.0219048103322034 -0.453806369830508 -0.457651383728814 -0.16921968620339 -0.455222146440678 -0.14579548970339 0.198586466508475 0.0688995208186441 -0.304615322881356 -0.0787640836610169 -0.554956709661017 -0.31431306340678 -0.0153329520084746 -0.615898188474576 -0.0727101584479661 -0.263574018186441 -0.254846438755932 -0.429713536101695 -0.55477211220339 -0.396659907457627 -0.604053019152542 -0.533046952542373 -0.559856635084746 0.00727967988474576 -0.0427009322372881 0.139752115269492 -0.324289427932203 -0.577105211694915 0.393206208305085 -0.169064352813559 -0.164091969449153 0.20750092670339 -0.530704814745763 -0.651792839661017 0.305283825254237 -0.583249293389831 -0.558104554745763 0.126344614439492
2 WALKING_DOWNSTAIRS 0.27708735173913 -0.0156879937282609 -0.109218272456522 -0.986822279565217 -0.950704499130435 -0.95982817173913 0.940477273043478 -0.105630024498783 0.19872676876087 -0.979988760869565 -0.956750273043478 -0.954415873043478 0.0722564387173913 0.0116954511323913 0.00760546929869565 -0.988055854130435 -0.977983955434783 -0.98751821173913 -0.0454706620434783 -0.0599286797043478 0.0412277462173913 -0.985742027826087 -0.978919526956522 -0.959803708695652 -0.0936328412826087 -0.0415602029130435 -0.04358509665 -0.989709023043478 -0.990889614782609 -0.985542325652174 -0.967893623913043 -0.953081444130435 -0.967893623913043 -0.953081444130435 -0.986774713043478 -0.984475868043478 -0.946035087173913 -0.961313624130435 -0.991081493913044 -0.989594919565217 -0.985803840652174 -0.957343498478261 -0.970162172608696 -0.98736209 -0.950073754130435 -0.956862864130435 0.08519282071 0.150193956163043 0.0960646759586957 -0.987848793695652 -0.977139702826087 -0.985129050217391 -0.989459107391304 -0.980804228478261 -0.988570804130435 0.305546818084783 0.0262448647134783 0.0929030630369565 -0.982621389565217 -0.982100923695652 -0.959814822391304 -0.986808501521739 -0.977356188695652 -0.963522659782609 0.130523120891304 -0.192142737913044 0.0409472348676087 -0.96127374826087 -0.955575602173913 0.130934202854348 -0.983874698913043 -0.984124185869565 0.280062423956522 -0.971840596086956 -0.961385745217391 -0.106358909173913 -0.989861950869565 -0.989632908913043 0.1947221493
2 WALKING_UPSTAIRS 0.262229803136842 -0.0220301892433684 -0.134851320726316 -0.130850878758947 0.184639510688421 -0.107528323132632 0.825900098210526 -0.371473468105263 -0.120688623490526 -0.937353412736842 -0.931832194526316 -0.904439952105263 0.0920583848602105 -0.00652856647557895 -0.000514145278947368 -0.0666646401978947 -0.0310550854568421 -0.458163789578947 -0.0865126971684211 -0.0185993011210526 0.0828564665536842 -0.38064463832 -0.441284841789474 -0.221099602511579 -0.0706252563094737 -0.0422775580105263 -0.0576298531705263 -0.355560181894737 -0.558370833284211 -0.3442434011 -0.00972406266947368 0.00258589016421053 -0.00972406266947368 0.00258589016421053 -0.159527526868421 0.00376122906421053 -0.191253792502421 -0.326728602526316 -0.492696890631579 -0.471577185936842 -0.0789375817021053 0.142722010382 -0.20693433286 -0.15401093428 0.127968738170526 -0.127933735791579 -0.277772107389474 -0.02536777108 -0.0748314448699368 -0.0623475904831579 -0.0473114922778947 -0.398435651915789 -0.159914371087368 -0.0830677013789474 -0.517800589473684 -0.0960073585368421 -0.322234190315789 -0.305195495736842 -0.239688024495789 -0.425664038715789 -0.168895727532632 -0.428407876684211 -0.459251016842105 -0.319451567273684 -0.0768365634547368 -0.0277260254042105 0.0285896429663158 0.0717439681084211 -0.195920618358947 0.100829148103158 0.0142009860926316 -0.0190394720073684 0.00329748949894737 -0.386408383336842 -0.405946176757895 0.0399422678533684 -0.491648076052632 -0.484223390052632 -0.00173653845894737
